date,activity,duration_minutes
2026-08-10,guitar,30
2026-08-11,guitar,45
2026-08-12,guitar,20
2026-08-15,guitar,60
2026-08-16,guitar,25
2026-08-17,guitar,40
2026-08-18,guitar,35
2026-08-19,guitar,50
2026-08-22,guitar,15
2026-08-23,guitar,30
2026-08-24,guitar,45
2026-08-25,guitar,20
2026-08-26,guitar,55
2026-08-27,guitar,30
2026-08-29,guitar,40
2026-08-30,guitar,25
2026-09-01,guitar,35
2026-09-02,guitar,50
2026-09-03,guitar,20
2026-09-04,guitar,45
2026-09-05,guitar,30
2026-09-07,guitar,60
2026-09-08,guitar,40
2026-09-09,guitar,25
2026-09-10,guitar,35
